Time,PVPower,LoadDemand,LoadForecast
7,0.654,1104.0726,1058.1621
8,0.755,2580.1855,2417.345
9,0.829,2652.932,2669.3376
10,0.857,2688.0254,2621.4297
11,0.864,2709.587,2720.137
12,0.884,2620.152,2610.0254
13,0.867,2694.5251,2705.8447
14,0.874,2675.702,2660.8882
15,0.827,2675.904,2698.9944
16,0.687,2724.2534,2726.9688
17,0.277,2467.0415,2501.4683
18,0,2042.2535,2124.921
19,0,2000.4254,2011.5071
20,0,1639.5695,1673.0333
21,0,1577.1268,1604.3281
22,0,600.74945,616.08563
23,0,526.46436,528.8018
24,0,514.242,522.83136
1,0,514.2421,485.7673
2,0,514.24194,511.72266
3,0,514.242,507.7366
4,0,524.29517,519.3771
5,0,602.92413,594.4128
6,0.152,805.05383,1007.6787
7,0.672,1184.7925,1114.7572
8,0.772,2564.7234,2535.8438
9,0.847,2620.2456,2651.6003
10,0.875,2654.892,2615.6855
11,0.876,2669.192,2684.1875
12,0.884,2581.5515,2581.3372
13,0.873,2663.5217,2680.057
14,0.871,2654.132,2632.061
15,0.827,2645.8574,2662.9255
16,0.684,2705.4658,2697.7583
17,0.28,2449.509,2482.4512
18,0,2054.4849,2074.6458
19,0,2039.1434,2040.538
20,0,1715.5712,1698.6492
21,0,1669.2904,1643.481
22,0,600.7494,607.2177
23,0,526.4641,516.42426
24,0,514.242,503.7006
1,0,514.2421,496.96997
2,0,514.24194,510.67557
3,0,514.24207,503.0881
4,0,526.4641,523.4014
5,0,600.7528,598.6824
6,0.164,1205.8683,1006.55316
7,0.58,1439.2402,1425.9169
8,0.771,2600.4841,2646.8257
9,0.844,2666.1333,2651.786
10,0.843,2644.199,2658.0671
11,0.867,2650.5173,2649.4924
12,0.873,2557.92,2566.5037
13,0.884,2655.4243,2651.1516
14,0.862,2654.3674,2644.2314
15,0.807,2650.9795,2637.395
16,0.738,2705.8052,2694.2378
17,0.255,2446.8267,2453.322
18,0,2054.69,2045.6927
19,0,2045.7817,2034.7698
20,0,1716.7982,1716.26
21,0,1674.9341,1658.7758
22,0,600.7494,599.7299
23,0,526.46423,515.6099
24,0,514.2421,502.6091
1,0,514.242,497.0778
2,0,514.2421,510.7501
3,0,514.24194,502.888
4,0,524.29517,523.61755
5,0,602.9238,596.5863
6,0.081,1265.456,1007.68005
7,0.603,1478.3331,1467.7844
8,0.772,2670.8682,2656.863
9,0.793,2713.9282,2698.973
10,0.843,2662.326,2690.3203
11,0.859,2662.9207,2654.3633
12,0.863,2568.6675,2570.4563
13,0.859,2666.2976,2675.6877
14,0.829,2656.138,2656.4172
15,0.812,2663.938,2658.732
16,0.661,2717.5503,2696.6677
17,0.276,2446.6853,2441.5176
18,0,2067.9038,2062.1318
19,0,2105.3499,2047.1511
20,0,1767.3414,1763.6453
21,0,1714.6534,1740.0701
22,0,600.74945,558.1982
23,0,526.4642,515.95465
24,0,514.2421,507.05255
1,0,414.5605,500.5619
2,0,412.3915,464.41992
3,0,414.56058,445.52908
4,0,426.7829,432.06018
5,0,453.40182,451.5505
6,0.175,1266.0123,1202.9839
7,0.675,1285.9221,1250.287
8,0.749,1888.0442,1850.4994
9,0.821,1889.9973,1887.309
10,0.855,1880.2194,1895.5461
11,0.862,1909.4575,1915.4792
12,0.868,1931.3834,1887.1943
13,0.85,1945.0121,1973.4636
14,0.853,1435.3497,1401.1454
15,0.803,1411.1726,1397.9436
16,0.657,1439.1605,1462.8989
17,0.264,1294.4332,1413.6766
18,0,473.30072,654.24225
19,0,500.1182,455.44757
20,0,502.2887,491.3693
21,0,475.67612,480.48727
22,0,451.22723,444.68396
23,0,426.7827,460.44357
24,0,414.56058,429.5245
1,0,414.55936,432.62198
2,0,412.39105,476.60092
3,0,414.55936,377.0494
4,0,426.78156,392.58093
5,0,451.22922,433.413
6,0.177,474.48392,503.5345
7,0.522,473.2973,519.44415
8,0.764,471.12885,509.75452
9,0.808,436.6307,540.9475
10,0.625,387.74194,525.5794
11,0.859,387.74405,413.52197
12,0.859,387.74417,374.92212
13,0.835,389.91882,469.25357
14,0.818,387.7441,453.12265
15,0.774,385.57346,381.28006
16,0.629,436.63068,414.2261
17,0.259,473.29727,556.07916
18,0,473.29727,520.4641
19,0,497.94644,494.35168
20,0,500.11484,557.04584
21,0,475.67395,630.0219
22,0,451.22604,511.17178
23,0,426.78165,349.49728
24,0,414.55942,416.83234
1,0,512.07294,510.94254
2,0,514.24207,563.1536
3,0,514.24194,544.42615
4,0,526.4642,508.75098
5,0,602.9237,634.0519
6,0.147,985.95874,920.60034
7,0.598,1123.4753,1233.1229
8,0.758,2537.4602,2595.526
9,0.784,2684.438,2608.59
10,0.82,2682.314,2662.969
11,0.83,2679.23,2735.6926
12,0.84,2582.067,2568.5732
13,0.835,2727.5796,2677.6501
14,0.809,2719.538,2720.3982
15,0.798,2663.663,2731.2188
16,0.669,2697.5295,2785.5781
17,0.022,2417.0513,2344.352
18,0,1999.9181,1984.5548
19,0,2009.85,2057.3345
20,0,1726.0557,1692.5532
21,0,1714.7737,1675.3186
22,0,600.74945,581.9522
23,0,526.46423,518.0728
24,0,514.2421,510.607
1,0,514.24194,495.2839
2,0,514.242,508.8493
3,0,514.2419,499.9437
4,0,526.4642,525.1093
5,0,600.7527,599.6929
6,0,850.1382,1006.55176
7,0.042,1163.8245,1150.2827
8,0.22,2527.1116,2537.8877
9,0.091,2648.9268,2621.6511
10,0.391,2642.0393,2633.0017
11,0.75,2670.7158,2676.6829
12,0.837,2590.6956,2589.6885
13,0.159,2709.7458,2685.2268
14,0.166,2693.4915,2695.1323
15,0.107,2684.8022,2696.9392
16,0.082,2734.449,2725.2405
17,0.019,2478.8965,2418.0261
18,0,2115.1824,2105.233
19,0,2129.4646,2135.7827
20,0,1808.1935,1819.0627
21,0,1753.2587,1736.5183
22,0,600.74927,604.61035
23,0,526.4643,537.14935
24,0,514.2419,501.55457
